FITSKeyword	DBKeyword	Source	MetadataDatatype	Units	DBDatatype	MetadataWidth	NullsAllowed	ValidateFormat	CheckValues	OutputFormat	SpecialIngest	MinValue	MaxValue	DiscreteValues	Metadata	UI	Calib	TAP_visible	TAP_principal	Description	Example	Notes
KOAID	KOAID	KOA	char		VARCHAR2(32 BYTE)	32	N	Y	Y	32s	Y				Y	Y			Y	Unique identifier for each file	KB.20170208_00008.fits, KR.20170208_00009.fits	
PROPINT	PROPINT	KOA	integer		NUMBER(*,0)	16	N	Y	Y	16d		0			Y	Y				Proprietary period		
FILESIZE_MB	FILESIZE_MB	KOA	double	MB	FLOAT(126)	16	N	Y	N	18.5f					Y							
TELESCOP	TELESCOP	KOA	char		VARCHAR2(8 BYTE)	8	N	Y	N	8s					Y					Keck telescope designation	Keck II	
KOAIMTYP	KOAIMTYP	KOA	char		VARCHAR2(69 BYTE)	69	N	Y	Y	69s				object, bias, dark, arclamp, flatlamp, fpc, domeflat, twilightflat, contbars	Y	Y			Y	KOA image type	object	
PROGNAME	PROGNAME	KCWI	char		VARCHAR2(32 BYTE)	32	Y	Y	N	32s					Y					WMKO program ID		
PROGID	PROGID	KOA	char		VARCHAR2(69 BYTE)	32	N	Y	N	32s					Y	Y				WMKO program ID	H275	
PROGINST	PROGINST	KOA	char		VARCHAR2(32 BYTE)	32	N	Y	N	32s					Y	Y			Y	Program Institution	UH	
PROGPI	PROGPI	KOA	char		VARCHAR2(69 BYTE)	32	N	Y	N	32s					Y	Y			Y	Program PI	McConnell	
PROGTITL	PROGTITL	KOA	char		VARCHAR2(210 BYTE)	210	Y	Y	N	211s					Y	Y			Y	Program title	Extreme Stellar Population Gradients in Elliptical Galaxies	
AIRMASS	AIRMASS	DCS	double		FLOAT(126)	16	Y	Y	N	18.5f					Y					Air mass (1.41)	1.34436133	
AMPID1	AMPID1	KCWI	integer		NUMBER(*,0)	16	Y	Y	N	16d					Y					amp Id number, readout sequence 0	0	
AMPID2	AMPID2	KCWI	integer		NUMBER(*,0)	16	Y	Y	N	16d					Y					amp Id number, readout sequence 1	1	
AMPID3	AMPID3	KCWI	integer		NUMBER(*,0)	16	Y	Y	N	16d					Y					amp Id number, readout sequence 2	2	
AMPID4	AMPID4	KCWI	integer		NUMBER(*,0)	16	Y	Y	N	16d					Y					amp Id number, readout sequence 3	3	
AMPMNUM	AMPMNUM	KCWI	integer		NUMBER(*,0)	16	Y	Y	N	16d					Y					number of detector readout mode	0	
AMPMODE	AMPMODE	KCWI	char		VARCHAR2(32 BYTE)	32	Y	Y	N	32s					Y					name of detector readout mode	ALL	
AMPNAME1	AMPNAME1	KCWI	char		VARCHAR2(16 BYTE)	16	Y	Y	N	16s					Y					amp name, readout sequence 0	E	
AMPNAME2	AMPNAME2	KCWI	char		VARCHAR2(16 BYTE)	16	Y	Y	N	16s					Y					amp name, readout sequence 1	F	
AMPNAME3	AMPNAME3	KCWI	char		VARCHAR2(16 BYTE)	16	Y	Y	N	16s					Y					amp name, readout sequence 2	H	
AMPNAME4	AMPNAME4	KCWI	char		VARCHAR2(16 BYTE)	16	Y	Y	N	16s					Y					amp name, readout sequence 3	G	
ASEC1	ASEC1	KCWI	char		VARCHAR2(24 BYTE)	24	Y	Y	N	24s					Y					IRAF AMPSEC [CCDpix], readout sequence 0	[1:2048,1:2056]	
ASEC2	ASEC2	KCWI	char		VARCHAR2(24 BYTE)	24	Y	Y	N	24s					Y					IRAF AMPSEC [CCDpix], readout sequence 1	[1:2048,1:2056]	
ASEC3	ASEC3	KCWI	char		VARCHAR2(24 BYTE)	24	Y	Y	N	24s					Y					IRAF AMPSEC [CCDpix], readout sequence 2	[1:2048,1:2056]	
ASEC4	ASEC4	KCWI	char		VARCHAR2(24 BYTE)	24	Y	Y	N	24s					Y					IRAF AMPSEC [CCDpix], readout sequence 3	[1:2048,1:2056]	
AUTACTIV	AUTACTIV	DCS	char		VARCHAR2(16 BYTE)	16	Y	Y	N	16s					Y					DCS Guider active	yes	
AUTFWHM	AUTFWHM	DCS	double	pixels	FLOAT(126)	16	Y	Y	N	18.5f					Y					DCS Guider fwhm	0.934575	
AUTOSHUT	AUTOSHUT	KCWI	integer		NUMBER(*,0)	16	Y	Y	N	16d					Y					automatic shutter operation	1	
AUTXCENT	AUTXCENT	DCS	double	arcseconds	FLOAT(126)	16	Y	Y	N	18.5f					Y					DCS Guider x centroid	-56.8	
AUTYCENT	AUTYCENT	DCS	double	arcseconds	FLOAT(126)	16	Y	Y	N	18.5f					Y					DCS Guider y centroid	-91.7	
AZ	AZ	DCS	double	degrees	FLOAT(126)	16	Y	Y	N	18.5f					Y					DCS Azimuth	-20.47	
BALPHA	BALPHA	KCWI	double	degrees	FLOAT(126)	16	Y	Y	N	18.5f					Y					Blue grating incidence angle	15.6187191	
BARTANG	BARTANG	KCWI	double	degrees	FLOAT(126)	16	Y	Y	N	18.5f					Y					Blue Articulation Stage Angle	22.6413898	
BARTENC	BARTENC	KCWI	integer		NUMBER(*,0)	16	Y	Y	N	16d					Y					Blue Articulation Stage Encoder Value	219800	
BBETA	BBETA	KCWI	double	degrees	FLOAT(126)	16	Y	Y	N	18.5f					Y					Blue grating diffraction angle	7.0226712	
BCCDTMP	BCCDTMP	KCWI	double	Kelvin	FLOAT(126)	16	Y	Y	N	18.5f					Y					Blue CCD Temperature	169.805	
BCNTRL1	BCNTRL1	KCWI	integer		NUMBER(*,0)	16	Y	Y	N	16d					Y					Blue Heater 1 Control Mode	1	
BCNTRL2	BCNTRL2	KCWI	integer		NUMBER(*,0)	16	Y	Y	N	16d					Y					Blue Heater 2 Control Mode	1	
BCWAVE	BCWAVE	KCWI	double	angstroms	FLOAT(126)	16	Y	Y	N	18.5f					Y					Blue Central Wavelength	4499.959961	
BFILTNAM	BFILTNAM	KCWI	char		VARCHAR2(32 BYTE)	32	Y	Y	N	32s					Y	Y			Y	Blue Filter name	KBlue	Does this have an allowed list of values we should check?  [ACL]  No Check needed
BFILTNUM	BFILTNUM	KCWI	integer		NUMBER(*,0)	16	Y	Y	N	16d					Y					Blue Filter number (0-5)	3	
BFOCENC	BFOCENC	KCWI	integer		NUMBER(*,0)	16	Y	Y	N	16d					Y					Blue Focus Stage Encoder Value	-1899	
BFOCHM	BFOCHM	KCWI	integer		NUMBER(*,0)	16	Y	Y	N	16d					Y					Blue Focus Stage Homed? 0-no, 1-yes	1	
BFOCMM	BFOCMM	KCWI	double		FLOAT(126)	16	Y	Y	N	18.5f					Y					Blue Focus Stage Position in mm	-1.899	
BFPNAME	BFPNAME	KCWI	char		VARCHAR2(32 BYTE)	32	Y	Y	N	32s					Y					Blue Filter pusher position name	Mount	
BFPPOS	BFPPOS	KCWI	integer		NUMBER(*,0)	16	Y	Y	N	16d					Y					Blue Filter pusher position num (0-2)	2	
BFTNAME	BFTNAME	KCWI	char		VARCHAR2(32 BYTE)	32	Y	Y	N	32s					Y					Blue Filter transfer position name	Beam	
